Codice,Descrizione
01.11.00,"Coltivazione di cereali, legumi da granella e semi oleosi, escluso il riso"
01.12.00,Coltivazione di riso
01.13.11,Coltivazione di ortaggi e meloni in piena aria
01.13.12,Coltivazione di ortaggi e meloni in colture protette fuori suolo
01.13.13,"Coltivazione di ortaggi e meloni in altre colture protette, escluse colture fuori suolo"
01.13.20,"Coltivazione di radici, incluse barbabietole da zucchero"
01.13.30,"Coltivazione di tuberi, incluse patate"
01.14.00,Coltivazione di canna da zucchero
01.15.00,Coltivazione di tabacco
01.16.00,Coltivazione di piante tessili
01.19.11,Coltivazione di fiori in piena aria
01.19.12,Coltivazione di fiori in colture protette fuori suolo
01.19.13,"Coltivazione di fiori in altre colture protette, escluse colture fuori suolo"
01.19.90,Coltivazione di piante da foraggio e di altre colture agricole non permanenti n.c.a.
01.21.00,Coltivazione di uva
01.22.00,Coltivazione di frutta di origine tropicale e subtropicale
01.23.00,Coltivazione di agrumi
01.24.00,Coltivazione di pomacee e frutta a nocciolo
01.25.00,"Coltivazione di altri alberi da frutto, frutti di bosco e frutta in guscio"
01.26.00,Coltivazione di frutti oleosi
01.27.00,Coltivazione di piante per la produzione di bevande
01.28.00,"Coltivazione di spezie, piante aromatiche e farmaceutiche"
01.29.00,Coltivazione di altre colture agricole permanenti
01.30.00,Riproduzione delle piante
01.41.00,Allevamento di bovini da latte
01.42.00,Allevamento di altri bovini e bufalini
01.43.00,Allevamento di cavalli e altri equini
01.44.00,Allevamento di cammelli e camelidi
01.45.00,Allevamento di ovini e caprini
01.46.00,Allevamento di suini
01.47.00,Allevamento di pollame
01.48.10,Allevamento di conigli
01.48.20,Allevamento di altri animali da pelliccia
01.48.40,Bachicoltura
01.48.91,Allevamento di insetti
01.48.99,Allevamento di altri animali vari n.c.a.
01.50.00,Coltivazioni agricole associate all'allevamento di animali: attività mista
01.61.10,Manutenzione del terreno per mantenerlo in buone condizioni
01.61.91,Trattamenti fitosanitari
01.61.99,Altre attività di supporto alla produzione vegetale n.c.a.
01.62.01,Attività di maniscalchi
01.62.09,Altre attività di supporto alla produzione animale
01.63.10,Attività successive alla raccolta
01.63.20,Lavorazione delle sementi per la semina
01.70.00,"Caccia, cattura di animali e servizi connessi"
02.10.00,Silvicoltura e altre attività forestali
02.20.00,Utilizzo di aree forestali
02.30.00,Raccolta di prodotti selvatici non legnosi
02.40.00,Servizi di supporto per la silvicoltura
03.11.00,Pesca marina
03.12.00,Pesca in acque dolci
03.21.01,Coltivazione di alghe marine
03.21.09,Altre attività di acquacoltura marina
03.22.01,Coltivazione di alghe in acque dolci
03.22.09,Altre attività di acquacoltura in acque dolci
03.30.00,Attività di supporto alla pesca e all'acquacoltura
05.10.00,Estrazione di antracite
05.20.00,Estrazione di lignite
06.10.00,Estrazione di petrolio greggio
06.20.00,Estrazione di gas naturale
07.10.00,Estrazione di minerali metalliferi ferrosi
07.21.00,Estrazione di minerali di uranio e torio
07.29.00,Estrazione di altri minerali metalliferi non ferrosi
08.11.00,"Estrazione di pietre ornamentali, calcare, pietra di gesso, ardesia e altre pietre"
08.12.00,"Estrazione di ghiaia, sabbia, argilla e caolino"
08.91.00,Estrazione di minerali per l'industria chimica e per la produzione di fertilizzanti
08.92.00,Estrazione di torba
08.93.01,Estrazione di sale dal sottosuolo
08.93.02,Salicoltura marina
08.93.03,Produzione di sale da salamoia
08.99.01,Estrazione di asfalto e bitume naturale
08.99.09,Altre attività estrattive varie n.c.a.
09.10.00,Attività di supporto all'estrazione di petrolio e gas naturale
09.90.00,Attività di supporto ad altre attività estrattive
10.11.00,"Lavorazione e conservazione di carne, esclusa la carne di volatili"
10.12.00,Lavorazione e conservazione di carne di volatili
10.13.00,"Produzione di prodotti a base di carne, inclusi prodotti a base di carne di volatili"
10.20.01,Lavorazione di alghe
10.20.09,"Altre attività di lavorazione e conservazione di pesce, crostacei e molluschi"
10.31.00,Lavorazione e conservazione di patate
10.32.00,Produzione di succhi a base di frutta e ortaggi
10.39.00,Altre attività di lavorazione e conservazione di frutta e ortaggi
10.41.10,Produzione di olio di oliva
10.41.20,Produzione di altri oli vegetali
10.41.30,Produzione di oli e grassi animali
10.42.00,Produzione di margarina e di grassi alimentari simili
10.51.10,Trattamento igienico del latte
10.51.20,Produzione di derivati del latte
10.52.00,Produzione di gelati
10.61.11,Lavorazione di frumento
10.61.19,Lavorazione di altri cereali
10.61.20,Lavorazione del riso
10.61.90,Lavorazioni di altre granaglie
10.62.00,Produzione di amidi e di prodotti amidacei
10.71.10,Produzione di pane e prodotti di panetteria simili
10.71.20,Produzione di prodotti di pasticceria freschi
10.72.00,"Produzione di fette biscottate, biscotti, prodotti di pasticceria conservati"
10.73.01,Produzione di prodotti farinacei freschi
10.73.02,Produzione di prodotti farinacei conservati
10.81.00,Produzione di zucchero
10.82.00,"Produzione di cacao, cioccolato, caramelle e confetterie"
10.83.01,Lavorazione di tè e di altri preparati per infusi
10.83.02,Lavorazione di caffè
10.84.00,Produzione di condimenti e spezie
10.85.01,"Produzione di pasti e piatti preparati a base di carne, inclusi pasti e piatti preparati a base di carne di volatili"
10.85.02,Produzione di pasti e piatti preparati a base di pesce
10.85.03,Produzione di pasti e piatti preparati a base di ortaggi
10.85.04,Produzione di pizza surgelata o altrimenti conservata
10.85.05,Produzione di pasti e piatti preparati a base di pasta
10.85.09,Produzione di altri pasti e piatti preparati
10.86.00,Produzione di preparati omogeneizzati e di alimenti dietetici
10.89.01,Produzione di integratori alimentari
10.89.09,Produzione di altri prodotti alimentari vari n.c.a.
10.91.00,Produzione di mangimi per l'alimentazione degli animali da allevamento
10.92.00,Produzione di prodotti per l'alimentazione degli animali da compagnia
11.01.00,"Distillazione, rettifica e miscelatura di alcolici"
11.02.10,"Produzione di vini, esclusi vini spumanti e altri vini speciali"
11.02.20,Produzione di vini spumanti e altri vini speciali
11.03.00,Produzione di sidro e di altre bevande fermentate a base di frutta
11.04.00,Produzione di altre bevande fermentate non distillate
11.05.00,Produzione di birra
11.06.00,Produzione di malto
11.07.01,Produzione di bibite analcoliche
11.07.02,Produzione di acque in bottiglia
12.00.00,Produzione di prodotti del tabacco
13.10.00,Preparazione e filatura di fibre tessili
13.30.00,Finissaggio dei tessili
13.91.00,Fabbricazione di tessuti a maglia e all'uncinetto
13.92.10,Fabbricazione di tessili per la casa
13.92.20,Fabbricazione di tessili per l'arredo
13.93.00,Fabbricazione di tappeti e moquette
13.94.00,"Fabbricazione di spago, corde, funi e reti"
13.95.00,Fabbricazione di tessuti non-tessuti e di articoli in tessuto non-tessuto
13.96.00,Fabbricazione di altri tessuti per uso tecnico e industriale
13.99.10,"Fabbricazione di ricami, tulle, pizzi e merletti"
13.99.90,Fabbricazione di feltro e altri prodotti tessili diversi n.c.a.
14.10.10,Fabbricazione di articoli di calzetteria a maglia e all'uncinetto
14.10.20,Fabbricazione di maglioni e altri articoli a maglia e all'uncinetto
14.21.10,Fabbricazione in serie di abbigliamento esterno
14.21.20,Sartoria e confezione su misura di abbigliamento esterno
14.22.00,Fabbricazione di biancheria intima
14.23.00,Fabbricazione di indumenti da lavoro
14.24.00,Fabbricazione di abbigliamento in pelle e in pelliccia
14.29.00,Fabbricazione di altri articoli di abbigliamento e accessori n.c.a.
15.11.00,"Concia, tintura e rifinizione di pelli, cuoi e pellicce"
15.12.00,"Fabbricazione di articoli da viaggio, borse, pelletteria e selleria di qualsiasi materiale"
15.20.10,"Fabbricazione di calzature, escluse parti in cuoio per calzature"
15.20.20,Fabbricazione di parti in cuoio per calzature
16.11.00,Taglio e piallatura del legno
16.12.00,Lavorazione e finitura del legno
16.21.00,Fabbricazione di fogli da impiallacciatura e di pannelli a base di legno
16.22.00,Fabbricazione di pavimenti di legno con elementi pre-assemblati
16.23.01,Fabbricazione di stand e strutture simili in legno per convegni e fiere
16.23.09,Fabbricazione di altri prodotti di carpenteria in legno e falegnameria per l'edilizia n.c.a.
16.24.00,Fabbricazione di imballaggi in legno
16.25.00,Fabbricazione di porte e finestre in legno
16.26.00,Produzione di combustibili solidi da biomassa vegetale
16.27.00,Finitura di prodotti in legno
16.28.11,Fabbricazione di cornici
16.28.19,Fabbricazione di altri prodotti in legno n.c.a.
16.28.20,Fabbricazione di articoli in sughero
16.28.30,Fabbricazione di articoli in paglia e materiali da intreccio
17.11.00,Fabbricazione di pasta-carta
17.12.00,Fabbricazione di carta e cartone
17.21.00,"Fabbricazione di carta, cartone ondulato e di imballaggi di carta e cartone"
17.22.00,Fabbricazione di prodotti igienico-sanitari e per uso domestico in carta e ovatta di cellulosa
17.23.01,Fabbricazione di prodotti cartotecnici scolastici e commerciali
17.23.09,Fabbricazione di altri prodotti cartotecnici
17.24.00,Fabbricazione di carta da parati
17.25.00,Fabbricazione di altri articoli di carta e cartone
18.11.00,Stampa di giornali
18.12.00,Altra stampa
18.13.00,Lavorazioni preliminari alla stampa e ai media
18.14.00,Legatoria e servizi connessi
18.20.00,Riproduzione di supporti registrati
19.10.00,Fabbricazione di prodotti di cokeria
19.20.10,Raffinazione di petrolio
19.20.20,Fabbricazione di derivati del petrolio
19.20.30,Miscelazione di gas petroliferi liquefatti (GPL) e loro imbottigliamento
19.20.40,Fabbricazione di prodotti di base per la copertura stradale
19.20.90,Fabbricazione di altri prodotti derivanti dalla raffinazione del petrolio e prodotti da combustibili fossili
20.11.00,Fabbricazione di gas industriali
20.12.00,Fabbricazione di coloranti e pigmenti
20.13.00,Fabbricazione di altri prodotti chimici di base inorganici
20.14.00,Fabbricazione di altri prodotti chimici di base organici
20.15.00,Fabbricazione di fertilizzanti e composti azotati
20.16.00,Fabbricazione di materie plastiche in forme primarie
20.17.00,Fabbricazione di gomma sintetica in forme primarie
20.20.00,"Fabbricazione di fitofarmaci, disinfettanti e altri prodotti chimici per l'agricoltura"
20.30.00,"Fabbricazione di pitture, vernici e smalti, inchiostri da stampa e adesivi sintetici"
20.41.10,"Fabbricazione di saponi, detergenti e preparazioni tensioattive"
20.41.20,Fabbricazione di glicerina e altri prodotti per la pulizia e la lucidatura
20.42.00,Fabbricazione di profumi e cosmetici
20.51.00,Produzione di biocarburanti liquidi
20.59.11,Fabbricazione di fiammiferi
20.59.12,Fabbricazione di articoli esplosivi
20.59.20,Fabbricazione di colle
20.59.30,Fabbricazione di oli essenziali
20.59.91,Fabbricazione di liquidi per inalazione per sigarette elettroniche
20.59.99,Fabbricazione di tutti gli altri prodotti chimici vari n.c.a.
20.60.00,Fabbricazione di fibre sintetiche e artificiali
21.10.00,Fabbricazione di prodotti farmaceutici di base
21.20.01,Fabbricazione di sostanze diagnostiche radioattive in vivo
21.20.09,Fabbricazione di medicinali e altri preparati farmaceutici
22.11.10,Fabbricazione di pneumatici e camere d'aria
22.11.20,Rigenerazione e ricostruzione di pneumatici
22.12.00,Fabbricazione di altri prodotti in gomma
22.21.00,"Fabbricazione di lastre, fogli, tubi e profilati in materie plastiche"
22.22.00,Fabbricazione di imballaggi in materie plastiche
22.23.00,Fabbricazione di porte e finestre in materie plastiche
22.24.01,Fabbricazione di rivestimenti per pareti e pavimenti in materie plastiche
22.24.09,Fabbricazione di altri articoli in materie plastiche per l'edilizia
22.25.00,Lavorazione e finitura di prodotti in materie plastiche
22.26.11,Fabbricazione di articoli e attrezzature per la pulizia per uso domestico in materie plastiche
22.26.12,Fabbricazione di articoli e attrezzature per la pulizia per uso non domestico in materie plastiche
22.26.91,Fabbricazione di articoli per l'ufficio e la scuola in materie plastiche
22.26.99,Fabbricazione di altri prodotti vari in materie plastiche n.c.a.
23.11.00,Fabbricazione di vetro piano
23.12.00,Lavorazione e trasformazione del vetro piano
23.13.00,Fabbricazione di vetro cavo
23.14.00,Fabbricazione di fibre di vetro
23.15.10,Lavorazione di vetro a mano e a soffio artistico
